num,den,improvement
AMT_CREDIT_SUM_DEBT_max,CHANNEL_TYPE_Contact center_mean,1.0003357336292398
NAME_YIELD_GROUP_low_action_mean,PRODUCT_COMBINATION_Card Street_mean,1.0002782396288794
PRODUCT_COMBINATION_Cash Street: high_mean,AMT_CREDIT_SUM_DEBT_mean,1.0002635302555407
DAYS_DECISION,DAYS_EMPLOYED,1.0002300128397488
DAYS_ENDDATE_FACT_max,AMT_PAYMENT_mean,1.0002263446560156
AMT_ANNUITY_max_5,AMT_INSTALMENT_max,1.0002252934758415
NAME_TYPE_SUITE_nan_mean,RATE_DOWN_PAYMENT_mean,1.0002217124015222
DAYS_LAST_DUE_1ST_VERSION_max,CNT_INSTALMENT_FUTURE_max,1.0002077777800966
AMT_CREDIT_LIMIT_ACTUAL_mean,DAYS_BIRTH,1.0001943769599724
NAME_CONTRACT_STATUS_Active_mean_4,NAME_GOODS_CATEGORY_Photo / Cinema Equipment_mean,1.0001756235002381
CNT_INSTALMENT_FUTURE_mean,DAYS_CREDIT_mean,1.0001702943835311
AMT_CREDIT_1,NAME_CLIENT_TYPE_Repeater_mean,1.0001532682923657
AMT_CREDIT_SUM_LIMIT_max,AMT_CREDIT_SUM_max,1.0001440703491151
AMT_DRAWINGS_POS_CURRENT_max,DAYS_LAST_PHONE_CHANGE,1.000138813548349
AMT_PAYMENT,AMT_DRAWINGS_ATM_CURRENT_max,1.0001331311844939
WEEKDAY_APPR_PROCESS_START_FRIDAY_mean,AMT_CREDIT_SUM,1.0001311271230862
PRODUCT_COMBINATION_Cash X-Sell: high_mean,DAYS_LAST_DUE_max,1.00012381819827
CREDIT_TYPE_Car loan_mean,DAYS_INSTALMENT,1.0001138993343013
NAME_CONTRACT_STATUS_Completed_mean,AMT_DRAWINGS_OTHER_CURRENT_max,1.0001001623525805
AMT_PAYMENT_CURRENT,DAYS_CREDIT_ENDDATE_max,1.0000941592256827
CNT_PAYMENT_mean,AMT_APPLICATION_mean,1.0000889874351517
AMT_ANNUITY_mean,AMT_DRAWINGS_CURRENT_mean,1.000037742883037
AMT_INSTALMENT_mean,DAYS_CREDIT_UPDATE_mean,1.0000094433032756
DEF_30_CNT_SOCIAL_CIRCLE,CODE_GENDER,1.0000011438653251
